Artikelnr.,Ordercode,RoHS-compatibel?,Uw art.nr.,Opmerkingen,Hoeveelheid,Artikelnummer fabrikant,Naam fabrikant,Fabrikant / beschrijving,Beschikbaarheid,Prijs per stuk,Artikelprijs,Prijs na korting
1,2383313,RoHS: YES / FTALATEN: TBA,,,20.0,"60R050XPR",LITTELFUSE,"LITTELFUSE  PPTC Resettable Fuse, Through Hole, POLYFUSE 60R Series, 500 mA, 1 A, 60 VDC, -40 °C",2003,0.5260,10.52,,
2,2494563,RoHS: YES / FTALATEN: TBA,,,40.0,"05.72.148",ETTINGER,"ETTINGER  Spacer, Round, Aluminium, 4.5x14mm",278,0.1680,6.72,,
3,1611205,RoHS: YES / FTALATEN: TBA,,,20.0,"MUR160G",ON SEMICONDUCTOR,"ON SEMICONDUCTOR  Fast / Ultrafast Diode, 600 V, 1 A, Single, 1.25 V, 50 ns, 35 A",2501,0.3010,6.02,,
4,9801219,RoHS: YES / FTALATEN: TBA,,,20.0,"1N5819",STMICROELECTRONICS,"STMICROELECTRONICS  Schottky Rectifier, 40 V, 1 A, Single, DO-41 (DO-204AL), 2 Pins, 900 mV",9607,0.2420,4.84,,
5,9558055,RoHS: YES / FTALATEN: TBA,,,20.0,"1N5347BG",ON SEMICONDUCTOR,"ON SEMICONDUCTOR  Zener Single Diode, 10 V, 5 W, 017AA, 5 %, 2 Pins, 200 °C",40874,0.3490,6.98,,
6,1574381,RoHS: YES / FTALATEN: TBA,,,20.0,"BC547B",MULTICOMP,"MULTICOMP  Bipolar (BJT) Single Transistor, NPN, 45 V, 300 MHz, 625 mW, 100 mA, 200 hFE",48737,0.1170,2.34,,
7,1775651,RoHS: YES / FTALATEN: TBA,,,16.0,"IPP200N15N3GXKSA1",INFINEON,"INFINEON  MOSFET Transistor, N Channel, 50 A, 150 V, 0.016 ohm, 10 V, 3 V",400,2.5900,41.44,,
8,9845178,RoHS: YES / FTALATEN: TBA,,,115.0,"2N7000",ON SEMICONDUCTOR,"ON SEMICONDUCTOR  MOSFET Transistor, N Channel, 200 mA, 60 V, 1.2 ohm, 10 V, 2.1 V",124976,0.0992,11.41,,
9,1866099,RoHS: YES / FTALATEN: TBA,,,50.0,"MCCQ-05CT",MULTICOMP,"MULTICOMP  Fuseholder, Clip, PCB Mount, 10A, 5mm, Solder, Through Hole, Bronze, Tin Plated",27084,0.1870,9.35,,
10,1227538,RoHS: YES / FTALATEN: TBA,,,16.0,"CB10LV472M",CITEC - TE CONNECTIVITY,"CITEC - TE CONNECTIVITY  Trimmer Potentiometer, 4.7 kohm, 1 Turns, Through Hole, CB10 Series, 150 mW, ± 20%",2827 Beschikbaar tot einde voorraad,0.8070,12.91,,
11,1227541,RoHS: YES / FTALATEN: TBA,,,16.0,"CB10LV473M",CITEC - TE CONNECTIVITY,"CITEC - TE CONNECTIVITY  Trimmer Potentiometer, 47 kohm, 1 Turns, Through Hole, CB10 Series, 150 mW, ± 20%",3421 Beschikbaar tot einde voorraad,0.7850,12.56,,
12,1141768,RoHS: YES / FTALATEN: TBA,,,20.0,"K331J15C0GF53L2",VISHAY,"VISHAY  Multilayer Ceramic Capacitor, 330 pF, 50 V, Mono-Kap Series, ± 5%, Radial Leaded, C0G / NP0",13949,0.2900,5.80,,
13,1600815,RoHS: YES / FTALATEN: TBA,,,32.0,"MCCC100V104KY5P",MULTICOMP,"MULTICOMP  CERAMIC CAPACITOR 0.1UF, 100V, Y5P, 10%, RADIAL",3299,0.4150,13.28,,
14,1457685,RoHS: Y-EX / FTALATEN: TBA,,,16.0,"C322C104K1R5TA",KEMET,"KEMET  Multilayer Ceramic Capacitor, Gold Max, 0.1 µF, 100 V, Goldmax, 300 Series, ± 10%, Radial Leaded",15767,0.3470,5.55,,
15,1899911,RoHS: YES / FTALATEN: TBA,,,16.0,"UPW2A4R7MDD1TD",NICHICON,"NICHICON  ALUMINUM ELECTROLYTIC CAPACITOR, 4.7UF, 100V, 20%, RADIAL",89,0.2030,3.25,,
16,1144620,RoHS: YES / FTALATEN: TBA,,,20.0,"25YXF100MEFC6.3X11",RUBYCON,"RUBYCON  Electrolytic Capacitor, Miniature, 100 µF, 25 V, YXF Series, ± 20%, Radial Leaded, 6.3 mm",10910,0.1700,3.40,,
17,1144615,RoHS: YES / FTALATEN: TBA,,,20.0,"16YXF220MEFC8X11.5",RUBYCON,"RUBYCON  Electrolytic Capacitor, Miniature, 220 µF, 16 V, YXF Series, ± 20%, Radial Leaded, 8 mm",3010,0.2640,5.28,,
18,2675796,RoHS: Y-EX / FTALATEN: TBA,,,20.0,"1N4007+",MULTICOMP,"MULTICOMP  Standard Recovery Diode, 1 kV, 1 A, Single, 1 V, 30 A",192872,0.0584,1.17,,
19,9663762,RoHS: YES / FTALATEN: TBA,,,16.0,"ICM7555IPAZ",RENESAS,"RENESAS  CMOS RC Timer in PDIP-8 Package",6348,0.5110,8.18,,
20,2577479,RoHS: YES / FTALATEN: TBA,,,16.0,"173010578",WURTH ELEKTRONIK,"WURTH ELEKTRONIK  Fixed Step Down Regulator Module, 7-28V/1A/5V Output, SIP-3",298,5.2800,84.48,,
21,2309773,RoHS: YES / FTALATEN: TBA,,,16.0,"ELC08D470E",PANASONIC,"PANASONIC  Choke, ELC-08D Series, 47 µH, 1.2 A, 0.067 ohm, ± 10%",1095 Beschikbaar tot einde voorraad,0.3980,6.37,,
22,1841376,RoHS: YES / FTALATEN: TBA,,,20.0,"61900319521",WURTH ELEKTRONIK,"WURTH ELEKTRONIK  Wire-To-Board Connector, Locking, 2.54 mm, 3 Contacts, Header, WR-WTB Series, Through Hole, 1 Rows",252,0.5300,10.60,,
23,1841380,RoHS: YES / FTALATEN: TBA,,,20.0,"61900419521",WURTH ELEKTRONIK,"WURTH ELEKTRONIK  Wire-To-Board Connector, Locking, 2.54 mm, 4 Contacts, Header, WR-WTB Series, Through Hole, 1 Rows",111,0.6640,13.28,,
24,4285669,RoHS: TBA / FTALATEN: TBA,,,20.0,"2227-40-06-05",MULTICOMP,"MULTICOMP  IC & Component Socket, 40 Contacts, DIP Socket, 2.54 mm, 2227 Series, 15.24 mm, Phosphor Bronze",6719,0.2970,5.94,,
25,2668408,RoHS: YES / FTALATEN: TBA,,,20.0,"SPC15494",MULTICOMP,"MULTICOMP  IC & Component Socket, 8 Contacts, DIP Socket, 2.54 mm, 7.62 mm, Phosphor Bronze",15689,0.1400,2.80,,
26,1841375,RoHS: YES / FTALATEN: TBA,,,100.0,"61900311621",WURTH ELEKTRONIK,"WURTH ELEKTRONIK  Wire-To-Board Connector, 2.54 mm, 3 Contacts, Receptacle, WR-WTB Series, 1 Rows",2805,0.0760,7.60,,
27,1841425,RoHS: YES / FTALATEN: TBA,,,100.0,"61900113722DEC",WURTH ELEKTRONIK,"WURTH ELEKTRONIK  Contact, WR-WTB Series, Socket, Crimp, 22 AWG, 28 AWG",11016,0.0840,8.40,,
28,9340459,RoHS: YES / FTALATEN: TBA,,,32.0,"MF50 3R3",MULTICOMP,"MULTICOMP  Through Hole Resistor, 3.3 ohm, MF50 Series, 500 mW, ± 1%, Axial Leaded, 350 V",578,0.1240,3.97,,
29,1466822,RoHS: Y-EX / FTALATEN: TBA,,,32.0,"05.03.151",ETTINGER,"ETTINGER  Standoff, Zinc Plated, Steel, M3, Hex Female, 15 mm, 05.03 Series",2595,0.3470,11.10,,

,,,,,,,Subtotaal,325.53
,,,,,,,Totaal aantal goederen,325.53
,,,,,,,Levering,0.00
,,,,,,,Kosten directe verzending,25.00
,,,,,,,BTW,4.75
,,,,,,,Totaal,355.28
